Subject	PreVacc	InitialVacc	BoosterVacc	BoosterResponseVacc
14007	5.83	5.16	5.5	4.83
14009	5.16	4.16	5.16	7.16
14013	2.5	2.16	4.16	6.5
14015	0	2.16	0	5.5
14017	5.16	4.16	0	7.83
14019	2.83	3.16	0	5.5
14021	5.5	5.16	7.5	6.83
14023	0	0	6.16	6.5
14027	5.16	2.83	5.5	6.5
14029	1.83	3.33	1.83	6.16
14031	0	1.83	2.5	8.5
14035	3.5	2.5	0	7.83
14037	3.16	2.83	5.83	5.5
14039	0	0	0	6.5
14043	3.16	3.83	4.5	4.83
14045	0	1.83	0	8.16
14047	3.5	3.5	2.16	7.5
14051	2.16	1.83	2.5	7.7
14053	4.16	3.16	3.83	7.83
14055	0	0	2.5	8.83
14057	2.5	3.5	2.83	6.83
14061	3.16	4.5	8.83	8.83
14063	0	0	0	8.16
14065	0	1.83	0	7.5
14067	0	0	0	6.83
14069	2.16	2.83	2.16	6.66
14071	4.5	3.16	2.5	0
14073	5.5	5.5	8.5	9.16
14075	1.83	2.83	2.83	9.16
14079	3.16	3.83	3.5	3.83
14081	3.5	4.16	1.83	4.83
14083	4.5	4.16	3.16	4.5
14085	0	0	3.16	6.5
14091	3.16	2.83	0	4.16
14093	2.83	2.83	2.83	5.5
14095	5.16	3.5	3.5	5.5
14097	4.5	4.16	0	0
14101	4.16	3.16	3.5	6.16
14103	2.83	1.83	2.5	8.83
14105	2.16	0	5.16	7.5
14107	0	0	3.83	7.5
14109	3.16	1.83	2.83	5.16
14113	4.16	2.16	3.33	9.16
14115	0	1.83	0	5.5
14119	3.5	2.83	0	2.5
14121	2.66	2.5	0	0
14123	4.5	2.83	2.5	6.83
14125	2.16	1.83	NA	6.16
14127	0	0	2.5	7.16
14129	6.16	5.5	8.83	8.5
14133	3.5	3.5	2.5	5.83
14135	5.5	4.16	3.66	5.83
14137	2.83	2.16	0	6.5
14139	2.16	2.16	1.83	5.5
14143	2.16	0	1.83	8.83
14145	4.16	4.83	3.16	4.5
14147	3.16	4.66	NA	6.5
14149	4.5	5.5	3.16	3.16
14151	0	0	2.83	8.16
14153	3.83	2.5	2.5	3.16
14155	4.5	3.5	NA	5.16
14157	2.5	1.83	2.83	5.83
14159	4.5	4.83	3.16	7.16
14161	2.83	2.5	NA	6.83
14163	4.83	3.16	2.5	4.33
14165	1.83	0	2.5	6.16
14167	4.83	3.66	2.5	4.5
14169	4.5	4.5	3.5	3.33
14171	5.5	4.16	1.83	0
14173	3.16	2.16	2.16	5.16
14175	3.5	2.66	0	4.5
14177	2.83	2.16	3.5	8.5
14179	3.83	3.66	4.5	5.5
14181	3.5	4.16	2.16	2.83
14183	3.83	3.83	0	5.16
14185	2.5	2.5	3.83	5.16
14187	3.5	3.5	3.5	4.5
14189	3.5	2.16	1.83	5.83
14191	5.5	4.5	4.5	4.5
14193	0	0	0	5.16
14195	0	1.83	3.5	5.16
14197	3.16	3.16	2.5	5.83
14199	5.83	3.83	4.16	4.16
14201	5.5	6.83	5.83	2.5
14203	4.66	3.5	3.16	3.83
14205	4.5	3.83	2.83	7.5
14207	5.5	5.5	3.83	3.16
14209	3.83	5.16	2.5	5.83
14211	4.5	6.16	4.5	3.83
14213	3.83	5.16	0	2.16
14215	3.5	4.5	2.5	6.83
14217	2.5	2.5	0	2.5
14219	2.5	3.16	0	6.83
14221	0	2.83	0	7.5
14223	4.16	6.16	2.83	4.5
14225	0	2.16	2.5	8.16
14227	3.16	5.16	3.5	3.33
14229	3.5	3.16	0	5.83
