Subject	IGHV1-7	IGHV1-10	IGHV1-14	IGHV1-17	IGHV1-20	IGHV1-21	IGHV1-27	IGHV1-30	IGHV1-7UL	FracULGlobal	PreVacc	InitialVacc	BoosterVacc	BoosterResponseVacc
14007	0.0588459384607	0.267081017451	0.24061234519	0.124808094507	0.143240545678	0.162638714814	0.125516668635	0.0409487274237	40.29293761	0.01317089016	5.83	5.16	5.5	4.83
14009	0.13612447657	0.0535339240745	0.109390172215	0.137985238728	0.232615590052	0.276601859311	0.231274447904	0.0371528306953	39.3106212	0.03668179236	5.16	4.16	5.16	7.16
14013	0.101250877008	0.436833900206	0.288726680481	0.132783123469	0.0957685558623	0.0708963802737	0.0250694560843	0.053428898181	38.82062189	0.02451976608	2.5	2.16	4.16	6.5
14015	0.0552133298121	0.471625630286	0.255432279223	0.111688766329	0.0658306873108	0.0490087395515	0.0219548221074	0.0419074700749	20.97428958	0.008253551719	0.0	2.16	0.0	5.5
14017	0.101026805598	0.0541864148486	0.110893406754	0.218135771622	0.279744107502	0.208319102659	0.152087465222	0.0871895965279	39.94900712	0.02622652728	5.16	4.16	0.0	7.83
14019	0.0727405057544	0.101355185799	0.064142907407	0.233929868567	0.312946904865	0.172437177945	0.179224456904	0.0593149161238	34.12490914	0.01631310324	2.83	3.16	0.0	5.5
14021	0.105518265228	0.0574646756525	0.0807668104836	0.295525642927	0.300263282569	0.129147695012	0.103604222647	0.0783383181018	45.97349547	0.03720773709	5.5	5.16	7.5	6.83
14023	0.0629139819031	0.269245792389	0.219284026327	0.145126712828	0.156416616214	0.148967383221	0.103013795766	0.0545663640502	23.68422826	0.01131653172	0.0	0.0	6.16	6.5
14027	0.0728018747738	0.060831992213	0.0774530232977	0.267049951024	0.319742177707	0.162291240218	0.161420108421	0.067659947773	33.50488716	0.01669307981	5.16	2.83	5.5	6.5
14029	0.0723845922484	0.0597496344082	0.0936044762962	0.273849033904	0.318280110767	0.187844200832	0.165859426047	0.0709688961719	38.19644352	0.01677945835	1.83	3.33	1.83	6.16
14031	0.0823752072822	0.0630590709821	0.0978765642171	0.262203552058	0.313318050583	0.202908055349	0.155889964196	0.0864499509613	30.35424491	0.01586888755	0.0	1.83	2.5	8.5
14035	0.126376392668	0.0547996336853	0.0889593451474	0.252340464317	0.285226320838	0.190592136387	0.14793861191	0.0863660629419	37.1468168	0.03117700438	3.5	2.5	0.0	7.83
14037	0.0708604743909	0.127477828209	0.0762063923125	0.263404675542	0.332360369941	0.199770210988	0.182710750707	0.0630267580758	27.04691536	0.01186848314	3.16	2.83	5.83	5.5
14039	0.0668571390779	0.100404753874	0.0667165995384	0.234315787385	0.315466624339	0.169765150162	0.177238546854	0.0916450070435	27.04216606	0.01147253753	0.0	0.0	0.0	6.5
14043	0.057717676446	0.0596638360411	0.0920187393099	0.29312398742	0.288456715505	0.14476317545	0.12674615157	0.0846579423877	34.17496772	0.01332609479	3.16	3.83	4.5	4.83
14045	0.045936757845	0.221498233897	0.219378508597	0.239044737255	0.213595978349	0.0808228150756	0.0682410901215	0.0762116590919	33.59475226	0.01049331762	0.0	1.83	0.0	8.16
14047	0.0967082740137	0.442755823851	0.291898833929	0.123087988759	0.0705627399888	0.0451188188371	0.0208439427112	0.035314824383	19.01913706	0.01359747622	3.5	3.5	2.16	7.5
14051	0.0629780737272	0.0549915668181	0.0918180083249	0.279656689551	0.308079865069	0.139389406686	0.108038601794	0.104251664715	30.9452176	0.01415851789	2.16	1.83	2.5	7.7
14053	0.0751631498027	0.0821627642408	0.0791913196213	0.368590033463	0.360309972725	0.118977975372	0.120147751127	0.0846153663076	28.10299071	0.01309935867	4.16	3.16	3.83	7.83
14055	0.0811469412065	0.0529056411129	0.0886559459996	0.218959131002	0.287034799626	0.204978019796	0.163683598514	0.0738659633002	38.80626852	0.02060059012	0.0	0.0	2.5	8.83
14057	0.0752488259153	0.0654145319671	0.0901430248692	0.311991674672	0.329352118689	0.126302833814	0.114302486925	0.104829757712	19.86794383	0.01059248784	2.5	3.5	2.83	6.83
14061	0.114453413328	0.394964702765	0.134557696311	0.120121789655	0.178667411094	0.139109430891	0.142381285841	0.0243129814335	47.58963152	0.03702447467	3.16	4.5	8.83	8.83
14063	0.0673604768207	0.0536644639961	0.0737762596231	0.245920088728	0.296859563443	0.168239836338	0.146630985889	0.0649873245475	42.21236517	0.02179480499	0.0	0.0	0.0	8.16
14065	0.140029604784	0.0636093804726	0.0817071580686	0.257073319136	0.311801264467	0.217579821707	0.182166569092	0.0817966371215	35.0376175	0.03248673941	0.0	1.83	0.0	7.5
14067	0.111006247508	0.0666356506713	0.0873942133014	0.316730914086	0.342321325712	0.159473171164	0.12006513359	0.108440781603	29.70979316	0.02145129392	0.0	0.0	0.0	6.83
14069	0.0565883921963	0.0579517365621	0.0629145893558	0.309226926139	0.320267222478	0.132913856187	0.110764310752	0.0859997975058	29.26527112	0.01263325564	2.16	2.83	2.16	6.66
14071	0.0748167170534	0.0536506952297	0.0726868536263	0.244215678017	0.297263345024	0.202310144673	0.14986550589	0.0830153920042	20.46523203	0.01137908918	4.5	3.16	2.5	0.0
14073	0.0735814735194	0.151379237805	0.188551893112	0.133911104661	0.19141037626	0.209726717312	0.160880516304	0.0306986015819	37.15347715	0.02016990166	5.5	5.5	8.5	9.16
14075	0.0897661583265	0.0614178249235	0.0793984678836	0.310309465742	0.331329651925	0.146114837773	0.107108176439	0.0892266807158	24.78602308	0.0155519221	1.83	2.83	2.83	9.16
14079	0.118899002162	0.111415485481	0.0733987973449	0.193264199894	0.274275649568	0.163679434513	0.158909883429	0.0644715017735	49.90247464	0.0413484023	3.16	3.83	3.5	3.83
14081	0.099704826307	0.321928449449	0.170797277173	0.114522349566	0.196931426402	0.153798522591	0.148323730032	0.0231277764469	35.57873262	0.02387816797	3.5	4.16	1.83	4.83
14083	0.0751431947717	0.175264470896	0.0405957354289	0.120537737487	0.307970763842	0.214922751768	0.240726753174	0.0110320329916	47.34177215	0.02386727962	4.5	4.16	3.16	4.5
14085	0.0753276179304	0.0598333587768	0.0898785945572	0.291684811866	0.345898649354	0.186180187853	0.145879365896	0.116120168087	26.45416697	0.01175959356	0.0	0.0	3.16	6.5
14091	0.102243207349	0.110486952164	0.0723865706151	0.273750748104	0.323050938554	0.14660234382	0.158796595009	0.0718036664542	47.34103201	0.03374620541	3.16	2.83	0.0	4.16
14093	0.0516083625926	0.222582729109	0.0419298250221	0.134172026125	0.31602768973	0.24666549367	0.232158848292	0.010274665105	18.89076866	0.006450936965	2.83	2.83	2.83	5.5
14095	0.0879159788088	0.108844561091	0.0690616659954	0.212146426311	0.29788191417	0.164107761692	0.175618039358	0.0636399445878	44.67939405	0.02551495475	5.16	3.5	3.5	5.5
14097	0.0460388791174	0.200885416187	0.275235282201	0.222187433812	0.226125302736	0.104934249906	0.0771044174118	0.0779343512013	16.77914245	0.004868625764	4.5	4.16	0.0	0.0
14101	0.0772902897182	0.367916997963	0.203145964816	0.125059012076	0.159157121205	0.0965328852557	0.0919516846395	0.0294221786016	58.28969279	0.03107267983	4.16	3.16	3.5	6.16
14103	0.101870013006	0.0912146882726	0.0799313391215	0.211239996719	0.280272300139	0.184937959155	0.161398760355	0.0843345401713	34.38534674	0.02766654736	2.83	1.83	2.5	8.83
14105	0.0832743723923	0.120733689343	0.0665024461349	0.249188399784	0.290494488812	0.154112680197	0.15553873356	0.0641078305167	36.10674884	0.02258750215	2.16	0.0	5.16	7.5
14107	0.0562529435004	0.0549483171548	0.109629905741	0.238680776124	0.290763156191	0.179559663498	0.171847971412	0.0711484506307	22.78717587	0.007743969884	0.0	0.0	3.83	7.5
14109	0.0599451445901	0.186731383167	0.187240542459	0.251179056829	0.219607464201	0.105083788294	0.0784960103467	0.080586536639	25.98419304	0.0104854705	3.16	1.83	2.83	5.16
14113	0.0765755081711	0.289257844928	0.109472023908	0.147329285359	0.242643675435	0.169143284078	0.155508645431	0.0230461801191	45.41758991	0.0226832679	4.16	2.16	3.33	9.16
14115	0.0659043935278	0.108927306012	0.0753941773946	0.25625221448	0.331832408173	0.156358509507	0.152964450218	0.0680421046415	46.84755351	0.01873551953	0.0	1.83	0.0	5.5
14119	0.0670198985283	0.0637814400345	0.0724802993775	0.344964197042	0.350590119103	0.124525925659	0.0913695081141	0.0862581411248	37.49799003	0.01716229615	3.5	2.83	0.0	2.5
14121	0.135265845239	0.265335842363	0.17604356442	0.111621839742	0.171980375236	0.135713315435	0.119928005242	0.0214286285039	58.13474921	0.05282804974	2.66	2.5	0.0	0.0
14123	0.0866476104799	0.0557159693102	0.0814240872135	0.317453177724	0.333173725678	0.130318844505	0.105247545025	0.094212046025	34.23950664	0.01895517873	4.5	2.83	2.5	6.83
14125	0.0664875011256	0.0555540163327	0.0849743373068	0.287375409529	0.324624410381	0.163382349885	0.137650391694	0.0754105684581	37.88459823	0.01789437906	2.16	1.83		6.16
