Subject	Cluster
14007	2
14009	1
14013	2
14015	2
14017	0
14019	1
14021	0
14023	2
14027	0
14029	0
14031	0
14035	0
14037	1
14039	1
14043	0
14045	2
14047	2
14051	0
14053	0
14055	0
14057	0
14061	2
14063	0
14065	0
14067	0
14069	0
14071	0
14073	2
14075	0
14079	1
14081	2
14083	1
14085	0
14091	1
14093	1
14095	1
14097	2
14101	2
14103	1
14105	1
14107	0
14109	2
14113	2
14115	1
14117	0
14119	0
14121	2
14123	0
14125	0
14127	0
14129	0
14133	0
14135	0
14137	0
14139	1
14143	0
14145	1
14147	2
14149	2
14151	2
14153	2
14155	2
14157	2
14159	2
14161	1
14163	0
14165	2
14167	0
14169	2
14171	1
14173	2
14175	2
14177	1
14179	2
14181	2
14183	2
14185	2
14193	2
14195	1
14197	2
14199	0
14201	1
14203	0
14207	2
14209	2
14213	2
14215	0
14217	1
14219	0
14221	0
14223	1
14225	1
14227	0
14229	2
14231	2
14233	2
14235	2
14237	1
14239	2
14241	2
14243	1
14245	2
14247	0
14251	0
14253	1
14255	2
14259	2
14261	2
14263	0
14265	0
14267	0
14271	2
14273	1
14275	0
14277	2
14279	1
14281	1
14283	0
14285	0
14287	2
14289	0
14291	1
14293	1
14295	2
14297	0
14299	2
14301	2
14303	1
14305	0
14307	1
14309	1
14311	0
14313	0
14315	2
14317	2
14319	2
14321	2
14323	0
14325	1
14327	1
14329	1
14331	0
14333	0
14335	1
14337	2
14339	0
14341	2
14343	2
14345	1
14347	1
14349	1
14351	1
14353	0
14355	1
14357	2
14359	1
14361	0
14363	1
14365	1
14367	0
14369	0
14371	2
14373	0
14375	2
14377	2
14379	1
14381	2
14383	0
14385	0
14387	0
14389	1
14393	1
14395	1
14399	1
14403	0
14405	1
14407	1
14409	1
14411	2
14413	1
14415	2
14417	2
14419	1
14421	0
14423	2
14425	0
14427	0
14429	0
14431	1
14433	1
14435	0
14437	1
14439	0
14447	1
14457	0
14459	2
14461	0
14467	1
14471	1
14475	0
14477	2
14479	2
14481	1
14483	1
